Distance to run: 100, step: 1
619:(x,y) = (4.53245 , 4.67111)
620:(x,y) = (5.50682 , 4.89607)
621:(x,y) = (5.79919 , 3.93976)
622:(x,y) = (5.39245 , 4.85331)
623:(x,y) = (4.49366 , 5.29168)
624:(x,y) = (5.14972 , 4.53697)
625:(x,y) = (5.67964 , 5.38502)
626:(x,y) = (4.73995 , 5.72704)
627:(x,y) = (4.60077 , 6.7173)
628:(x,y) = (4.63567 , 7.71669)
629:(x,y) = (5.53447 , 7.27832)
630:(x,y) = (4.86534 , 8.02147)
631:(x,y) = (4.5897 , 8.98273)
632:(x,y) = (4.26413 , 8.03721)
633:(x,y) = (3.26428 , 8.05466)
634:(x,y) = (2.38966 , 8.53947)
635:(x,y) = (1.41151 , 8.33156)
636:(x,y) = (0.8097 , 9.1302)
637:(x,y) = (-0.135819 , 9.45577)
638:(x,y) = (0.189749 , 10.4013)
639:(x,y) = (-0.797939 , 10.5577)
640:(x,y) = (0.201909 , 10.5752)
641:(x,y) = (0.236808 , 9.57578)
642:(x,y) = (-0.74134 , 9.78369)
643:(x,y) = (-1.58001 , 9.23905)
644:(x,y) = (-2.53107 , 8.93004)
645:(x,y) = (-1.77636 , 9.58609)
646:(x,y) = (-2.08537 , 10.5372)
647:(x,y) = (-1.11945 , 10.796)
648:(x,y) = (-1.22398 , 11.7905)
649:(x,y) = (-1.0848 , 12.7808)
650:(x,y) = (-1.62944 , 13.6194)
651:(x,y) = (-0.678386 , 13.3104)
652:(x,y) = (-1.1632 , 12.4358)
653:(x,y) = (-1.50522 , 13.3755)
654:(x,y) = (-2.22456 , 14.0701)
655:(x,y) = (-3.19893 , 13.8452)
656:(x,y) = (-4.17707 , 14.0531)
657:(x,y) = (-5.15522 , 14.261)
658:(x,y) = (-4.79685 , 13.3274)
659:(x,y) = (-5.41251 , 14.1154)
660:(x,y) = (-4.44222 , 14.3574)
661:(x,y) = (-4.0196 , 13.4511)
662:(x,y) = (-4.59318 , 12.6319)
663:(x,y) = (-4.66293 , 11.6343)
664:(x,y) = (-5.08555 , 12.5407)
665:(x,y) = (-5.29346 , 11.5625)
666:(x,y) = (-5.43264 , 12.5528)
667:(x,y) = (-5.83937 , 13.4663)
668:(x,y) = (-5.32433 , 14.3235)
669:(x,y) = (-4.56963 , 14.9795)
670:(x,y) = (-4.29399 , 14.0183)
671:(x,y) = (-3.80918 , 14.8929)
672:(x,y) = (-4.80537 , 14.8057)
673:(x,y) = (-3.97634 , 14.2466)
674:(x,y) = (-4.80537 , 14.8057)
675:(x,y) = (-5.0473 , 13.8355)
676:(x,y) = (-5.56233 , 12.9783)
677:(x,y) = (-5.83797 , 12.017)
678:(x,y) = (-5.82052 , 11.0172)
679:(x,y) = (-6.71152 , 10.5632)
680:(x,y) = (-7.59447 , 10.0937)
681:(x,y) = (-7.66423 , 9.09615)
682:(x,y) = (-8.65192 , 8.93972)
683:(x,y) = (-8.65192 , 9.93972)
684:(x,y) = (-7.69066 , 10.2154)
685:(x,y) = (-8.64171 , 9.90634)
686:(x,y) = (-9.54802 , 10.329)
687:(x,y) = (-8.98883 , 11.158)
688:(x,y) = (-9.51875 , 10.3099)
689:(x,y) = (-9.44899 , 11.3075)
690:(x,y) = (-10.4452 , 11.2204)
691:(x,y) = (-10.7376 , 10.264)
692:(x,y) = (-9.81037 , 10.6387)
693:(x,y) = (-9.31037 , 11.5047)
694:(x,y) = (-10.244 , 11.863)
695:(x,y) = (-9.25626 , 12.0195)
696:(x,y) = (-10.2411 , 11.8458)
697:(x,y) = (-10.8704 , 12.623)
698:(x,y) = (-9.8742 , 12.5358)
699:(x,y) = (-10.2162 , 11.5961)
700:(x,y) = (-11.201 , 11.7698)
701:(x,y) = (-12.092 , 12.2238)
702:(x,y) = (-13.0907 , 12.1714)
703:(x,y) = (-13.7727 , 11.4401)
704:(x,y) = (-12.785 , 11.2836)
705:(x,y) = (-11.9278 , 10.7686)
706:(x,y) = (-12.4724 , 11.6073)
707:(x,y) = (-13.1152 , 10.8412)
708:(x,y) = (-13.2198 , 11.8358)
709:(x,y) = (-12.3907 , 12.3949)
710:(x,y) = (-11.7479 , 11.6289)
711:(x,y) = (-11.1887 , 10.7999)
712:(x,y) = (-10.6737 , 9.9427)
713:(x,y) = (-9.69208 , 10.1335)
714:(x,y) = (-9.76183 , 9.13594)
715:(x,y) = (-9.03048 , 8.45395)
716:(x,y) = (-9.9051 , 7.96914)
717:(x,y) = (-9.42029 , 8.84376)
718:(x,y) = (-8.44999 , 9.08568)
719:(x,y) = (-8.41509 , 10.0851)
720:(x,y) = (-7.4754 , 10.4271)
721:(x,y) = (-7.14983 , 11.3726)
722:(x,y) = (-7.9885 , 10.828)
723:(x,y) = (-7.91875 , 9.8304)
724:(x,y) = (-8.57481 , 10.5851)
725:(x,y) = (-9.01318 , 9.68632)
726:(x,y) = (-9.91948 , 10.1089)
727:(x,y) = (-10.8939 , 9.88399)
728:(x,y) = (-9.91948 , 10.1089)
729:(x,y) = (-10.7855 , 10.6089)
730:(x,y) = (-10.0784 , 9.90183)
731:(x,y) = (-9.50483 , 10.721)
732:(x,y) = (-8.94563 , 9.89195)
733:(x,y) = (-9.68878 , 10.5611)
734:(x,y) = (-9.48087 , 9.58293)
735:(x,y) = (-10.4552 , 9.80788)
736:(x,y) = (-9.51554 , 9.46586)
737:(x,y) = (-9.37637 , 8.47559)
738:(x,y) = (-9.37637 , 7.47559)
739:(x,y) = (-8.76071 , 6.68758)
740:(x,y) = (-8.09158 , 5.94444)
741:(x,y) = (-8.85762 , 5.30165)
742:(x,y) = (-9.41682 , 6.13069)
743:(x,y) = (-9.99039 , 6.94984)
744:(x,y) = (-10.6197 , 6.17269)
745:(x,y) = (-9.76255 , 6.68773)
746:(x,y) = (-9.05544 , 5.98062)
747:(x,y) = (-8.37344 , 5.24927)
748:(x,y) = (-8.40834 , 6.24866)
749:(x,y) = (-9.34192 , 5.89029)
750:(x,y) = (-9.28959 , 4.89166)
751:(x,y) = (-9.66419 , 5.81885)
752:(x,y) = (-9.62929 , 4.81946)
753:(x,y) = (-8.6299 , 4.78456)
754:(x,y) = (-8.83781 , 3.80641)
755:(x,y) = (-8.75066 , 2.81021)
756:(x,y) = (-9.22013 , 1.92727)
757:(x,y) = (-8.61831 , 2.7259)
758:(x,y) = (-8.92733 , 3.67696)
759:(x,y) = (-9.18615 , 2.71103)
760:(x,y) = (-10.0997 , 2.3043)
761:(x,y) = (-9.66132 , 3.20309)
762:(x,y) = (-10.6607 , 3.16819)
763:(x,y) = (-9.72102 , 3.51021)
764:(x,y) = (-9.44539 , 4.47147)
765:(x,y) = (-8.53184 , 4.06474)
766:(x,y) = (-9.52439 , 3.94287)
767:(x,y) = (-9.24875 , 2.9816)
768:(x,y) = (-9.52439 , 2.02034)
769:(x,y) = (-8.66722 , 1.5053)
770:(x,y) = (-9.255 , 0.696288)
771:(x,y) = (-9.06419 , 1.67791)
772:(x,y) = (-10.0519 , 1.52148)
773:(x,y) = (-9.05204 , 1.50403)
774:(x,y) = (-9.96558 , 1.09729)
775:(x,y) = (-9.57485 , 0.176787)
776:(x,y) = (-9.71402 , -0.813481)
777:(x,y) = (-8.85686 , -0.298443)
778:(x,y) = (-9.32633 , 0.584504)
779:(x,y) = (-10.021 , -0.134836)
780:(x,y) = (-10.6366 , -0.922846)
781:(x,y) = (-10.7585 , -1.91539)
782:(x,y) = (-9.82494 , -2.27376)
783:(x,y) = (-10.634 , -1.68598)
784:(x,y) = (-10.7904 , -2.67366)
785:(x,y) = (-11.116 , -1.72814)
786:(x,y) = (-10.7576 , -2.66173)
787:(x,y) = (-11.5562 , -2.05991)
788:(x,y) = (-12.5125 , -1.76754)
789:(x,y) = (-11.7465 , -1.12475)
790:(x,y) = (-11.7465 , -2.12475)
791:(x,y) = (-12.2615 , -2.98192)
792:(x,y) = (-11.348 , -3.38866)
793:(x,y) = (-11.3829 , -2.38926)
794:(x,y) = (-11.5737 , -3.37089)
795:(x,y) = (-11.3658 , -4.34904)
796:(x,y) = (-10.8658 , -5.21506)
797:(x,y) = (-10.1226 , -5.88419)
798:(x,y) = (-10.9972 , -6.369)
799:(x,y) = (-10.6065 , -5.4485)
800:(x,y) = (-10.2975 , -6.39956)
801:(x,y) = (-9.59039 , -7.10666)
802:(x,y) = (-10.4194 , -6.54747)
803:(x,y) = (-9.4378 , -6.73828)
804:(x,y) = (-10.4323 , -6.84281)
805:(x,y) = (-11.1755 , -7.51194)
806:(x,y) = (-12.0743 , -7.07357)
807:(x,y) = (-12.0394 , -6.07418)
808:(x,y) = (-12.315 , -7.03544)
809:(x,y) = (-13.124 , -6.44765)
810:(x,y) = (-12.4169 , -7.15476)
811:(x,y) = (-13.0047 , -6.34574)
812:(x,y) = (-12.3227 , -5.61439)
813:(x,y) = (-13.293 , -5.37247)
814:(x,y) = (-14.0916 , -4.77065)
815:(x,y) = (-13.476 , -5.55866)
816:(x,y) = (-13.3888 , -6.55486)
817:(x,y) = (-12.801 , -7.36387)
818:(x,y) = (-12.0024 , -7.96569)
819:(x,y) = (-11.3596 , -8.73173)
820:(x,y) = (-12.1476 , -9.3474)
821:(x,y) = (-12.7494 , -10.146)
822:(x,y) = (-13.7371 , -10.3025)
823:(x,y) = (-14.7074 , -10.5444)
824:(x,y) = (-15.6637 , -10.8368)
825:(x,y) = (-14.8977 , -11.4795)
826:(x,y) = (-15.3517 , -10.5885)
827:(x,y) = (-16.0948 , -9.91941)
828:(x,y) = (-16.9694 , -9.4346)
829:(x,y) = (-17.9205 , -9.74362)
830:(x,y) = (-18.8268 , -10.1662)
831:(x,y) = (-18.1707 , -10.9209)
832:(x,y) = (-19.0617 , -10.467)
833:(x,y) = (-19.7931 , -11.149)
834:(x,y) = (-19.2931 , -12.015)
835:(x,y) = (-20.1411 , -12.5449)
836:(x,y) = (-20.054 , -11.5487)
837:(x,y) = (-19.2153 , -12.0933)
838:(x,y) = (-18.7153 , -12.9594)
839:(x,y) = (-19.5725 , -13.4744)
840:(x,y) = (-19.9309 , -12.5408)
841:(x,y) = (-20.5327 , -11.7422)
842:(x,y) = (-21.3987 , -12.2422)
843:(x,y) = (-20.5415 , -11.7272)
844:(x,y) = (-21.5075 , -11.4683)
845:(x,y) = (-20.5149 , -11.5902)
846:(x,y) = (-21.3721 , -12.1052)
847:(x,y) = (-21.2156 , -11.1176)
848:(x,y) = (-22.2033 , -10.9611)
849:(x,y) = (-23.1995 , -10.874)
850:(x,y) = (-23.3214 , -11.8665)
851:(x,y) = (-22.4554 , -11.3665)
852:(x,y) = (-21.7862 , -10.6234)
853:(x,y) = (-21.8386 , -9.62473)
854:(x,y) = (-22.5579 , -10.3194)
855:(x,y) = (-23.0274 , -9.43644)
856:(x,y) = (-22.4256 , -8.63781)
857:(x,y) = (-23.2642 , -9.18245)
858:(x,y) = (-23.5062 , -10.1527)
859:(x,y) = (-24.4197 , -10.5595)
860:(x,y) = (-24.1948 , -11.5338)
861:(x,y) = (-23.3037 , -11.9878)
862:(x,y) = (-24.2101 , -11.5652)
863:(x,y) = (-23.5807 , -12.3424)
864:(x,y) = (-23.2061 , -11.4152)
865:(x,y) = (-22.3581 , -11.9451)
866:(x,y) = (-23.3036 , -11.6195)
867:(x,y) = (-24.1946 , -11.1655)
868:(x,y) = (-25.169 , -10.9406)
869:(x,y) = (-24.278 , -11.3946)
870:(x,y) = (-23.2818 , -11.3074)
871:(x,y) = (-24.1478 , -10.8074)
872:(x,y) = (-24.3386 , -9.8258)
873:(x,y) = (-25.1578 , -10.3994)
874:(x,y) = (-26.1576 , -10.4168)
875:(x,y) = (-26.2274 , -11.4144)
876:(x,y) = (-26.0537 , -10.4296)
877:(x,y) = (-25.215 , -9.88495)
878:(x,y) = (-25.9922 , -10.5143)
879:(x,y) = (-26.5368 , -9.6756)
880:(x,y) = (-27.4198 , -10.1451)
881:(x,y) = (-27.9644 , -9.3064)
882:(x,y) = (-28.8554 , -8.85241)
883:(x,y) = (-29.4711 , -8.0644)
884:(x,y) = (-29.4362 , -7.06501)
885:(x,y) = (-29.7782 , -8.0047)
886:(x,y) = (-30.1849 , -8.91824)
887:(x,y) = (-30.9621 , -8.28892)
888:(x,y) = (-31.187 , -7.31455)
889:(x,y) = (-30.2167 , -7.07263)
890:(x,y) = (-31.0048 , -7.68829)
891:(x,y) = (-30.1137 , -7.2343)
892:(x,y) = (-30.8909 , -7.86362)
893:(x,y) = (-31.3135 , -8.76993)
894:(x,y) = (-30.4 , -9.17667)
895:(x,y) = (-30.1076 , -10.133)
896:(x,y) = (-30.9463 , -10.6776)
897:(x,y) = (-29.9586 , -10.5212)
898:(x,y) = (-29.2766 , -11.2525)
899:(x,y) = (-28.3369 , -10.9105)
900:(x,y) = (-27.3858 , -11.2195)
901:(x,y) = (-28.3706 , -11.3932)
902:(x,y) = (-29.3583 , -11.2367)
903:(x,y) = (-29.2365 , -10.2442)
904:(x,y) = (-29.1146 , -11.2367)
905:(x,y) = (-29.8339 , -11.9314)
906:(x,y) = (-30.5771 , -12.6005)
907:(x,y) = (-29.5784 , -12.6529)
908:(x,y) = (-29.8034 , -13.6272)
909:(x,y) = (-29.1214 , -14.3586)
910:(x,y) = (-29.6214 , -13.4926)
911:(x,y) = (-28.7009 , -13.8833)
912:(x,y) = (-28.0852 , -14.6713)
913:(x,y) = (-28.9143 , -14.1121)
914:(x,y) = (-29.1899 , -13.1509)
915:(x,y) = (-28.3809 , -12.5631)
916:(x,y) = (-27.5719 , -11.9753)
917:(x,y) = (-28.2912 , -12.6699)
918:(x,y) = (-27.6484 , -11.9039)
919:(x,y) = (-28.4031 , -11.2478)
920:(x,y) = (-28.9182 , -12.105)
921:(x,y) = (-28.9531 , -13.1044)
922:(x,y) = (-28.1651 , -12.4887)
923:(x,y) = (-28.3042 , -11.4985)
924:(x,y) = (-27.3979 , -11.0758)
925:(x,y) = (-27.8047 , -11.9894)
926:(x,y) = (-28.0126 , -12.9675)
927:(x,y) = (-28.5276 , -13.8247)
928:(x,y) = (-28.7864 , -14.7906)
929:(x,y) = (-29.6436 , -15.3057)
930:(x,y) = (-30.2997 , -14.551)
931:(x,y) = (-30.6417 , -13.6113)
932:(x,y) = (-29.887 , -12.9552)
933:(x,y) = (-30.8815 , -12.8507)
934:(x,y) = (-30.4589 , -11.9444)
935:(x,y) = (-29.7157 , -12.6135)
936:(x,y) = (-29.6983 , -13.6134)
937:(x,y) = (-29.4059 , -14.5697)
938:(x,y) = (-30.3984 , -14.6915)
939:(x,y) = (-29.6324 , -14.0487)
940:(x,y) = (-30.0231 , -13.1282)
941:(x,y) = (-31.023 , -13.1108)
942:(x,y) = (-30.0719 , -12.8018)
943:(x,y) = (-29.5871 , -11.9271)
944:(x,y) = (-28.768 , -12.5007)
945:(x,y) = (-27.7704 , -12.5705)
946:(x,y) = (-26.9044 , -13.0705)
947:(x,y) = (-27.5062 , -13.8691)
948:(x,y) = (-28.2722 , -14.5119)
949:(x,y) = (-27.3325 , -14.1699)
950:(x,y) = (-26.3582 , -13.9449)
951:(x,y) = (-25.4836 , -14.4297)
952:(x,y) = (-26.4232 , -14.0877)
953:(x,y) = (-26.1983 , -15.0621)
954:(x,y) = (-25.6684 , -15.9101)
955:(x,y) = (-26.6646 , -15.9973)
956:(x,y) = (-25.9214 , -15.3282)
957:(x,y) = (-26.8611 , -15.6702)
958:(x,y) = (-26.4227 , -16.569)
959:(x,y) = (-27.4044 , -16.3782)
960:(x,y) = (-26.7751 , -15.601)
961:(x,y) = (-26.2751 , -16.467)
962:(x,y) = (-26.1186 , -17.4547)
963:(x,y) = (-25.3096 , -18.0425)
964:(x,y) = (-24.3393 , -18.2844)
965:(x,y) = (-23.3734 , -18.5433)
966:(x,y) = (-24.2722 , -18.1049)
967:(x,y) = (-24.4971 , -19.0793)
968:(x,y) = (-25.3061 , -18.4915)
969:(x,y) = (-24.3606 , -18.817)
970:(x,y) = (-23.8911 , -19.7)
971:(x,y) = (-24.1161 , -20.6744)
972:(x,y) = (-23.2681 , -20.1444)
973:(x,y) = (-24.2583 , -20.2836)
974:(x,y) = (-25.2399 , -20.4744)
975:(x,y) = (-25.8827 , -21.2405)
976:(x,y) = (-26.8803 , -21.3102)
977:(x,y) = (-27.8258 , -20.9847)
978:(x,y) = (-28.0508 , -20.0103)
979:(x,y) = (-27.9462 , -21.0048)
980:(x,y) = (-27.3444 , -20.2062)
981:(x,y) = (-26.3663 , -20.4141)
982:(x,y) = (-26.7409 , -21.3413)
983:(x,y) = (-26.6537 , -20.3451)
984:(x,y) = (-26.6188 , -21.3445)
985:(x,y) = (-26.1494 , -20.4615)
986:(x,y) = (-26.9374 , -19.8459)
987:(x,y) = (-27.9319 , -19.9504)
988:(x,y) = (-28.0711 , -20.9407)
989:(x,y) = (-27.8803 , -19.959)
990:(x,y) = (-26.8841 , -20.0462)
991:(x,y) = (-27.8803 , -20.1333)
992:(x,y) = (-28.2058 , -21.0789)
993:(x,y) = (-28.1187 , -22.075)
994:(x,y) = (-28.9758 , -21.56)
995:(x,y) = (-29.3014 , -20.6145)
996:(x,y) = (-29.4751 , -21.5993)
997:(x,y) = (-30.4712 , -21.5121)
998:(x,y) = (-30.9863 , -22.3693)
999:(x,y) = (-30.8818 , -23.3638)
1000:(x,y) = (-31.7953 , -22.9571)
1001:(x,y) = (-32.7939 , -22.9048)
1002:(x,y) = (-33.7885 , -22.8002)
1003:(x,y) = (-33.2885 , -21.9342)
1004:(x,y) = (-33.8331 , -22.7729)
1005:(x,y) = (-34.3777 , -23.6115)
1006:(x,y) = (-34.0357 , -24.5512)
1007:(x,y) = (-33.5509 , -23.6766)
1008:(x,y) = (-32.7629 , -23.061)
1009:(x,y) = (-32.8326 , -24.0585)
1010:(x,y) = (-33.7073 , -24.5433)
1011:(x,y) = (-32.9086 , -25.1451)
1012:(x,y) = (-33.1843 , -26.1064)
1013:(x,y) = (-32.3271 , -26.6214)
1014:(x,y) = (-31.658 , -25.8783)
1015:(x,y) = (-30.87 , -25.2626)
1016:(x,y) = (-30.0128 , -24.7476)
1017:(x,y) = (-30.9976 , -24.9213)
1018:(x,y) = (-31.7169 , -25.6159)
1019:(x,y) = (-31.3262 , -26.5364)
1020:(x,y) = (-32.1034 , -25.9071)
1021:(x,y) = (-32.1383 , -24.9077)
1022:(x,y) = (-31.1534 , -25.0814)
1023:(x,y) = (-31.258 , -26.0759)
1024:(x,y) = (-30.2654 , -25.954)
1025:(x,y) = (-29.2838 , -25.7632)
1026:(x,y) = (-28.3135 , -25.5213)
1027:(x,y) = (-29.0682 , -24.8652)
1028:(x,y) = (-30.0627 , -24.9697)
1029:(x,y) = (-30.3551 , -25.926)
1030:(x,y) = (-29.7815 , -25.1069)
1031:(x,y) = (-30.6106 , -25.6661)
1032:(x,y) = (-30.0807 , -26.5141)
1033:(x,y) = (-30.2715 , -25.5325)
1034:(x,y) = (-30.1843 , -26.5287)
1035:(x,y) = (-31.1842 , -26.5113)
1036:(x,y) = (-30.257 , -26.8859)
1037:(x,y) = (-30.032 , -25.9115)
1038:(x,y) = (-30.4066 , -24.9843)
1039:(x,y) = (-30.7812 , -25.9115)
1040:(x,y) = (-29.8249 , -26.2039)
1041:(x,y) = (-29.0478 , -26.8332)
1042:(x,y) = (-29.9049 , -27.3482)
1043:(x,y) = (-30.247 , -26.4085)
1044:(x,y) = (-29.8886 , -27.3421)
1045:(x,y) = (-30.5447 , -26.5874)
1046:(x,y) = (-31.3927 , -26.0575)
1047:(x,y) = (-30.6047 , -26.6731)
1048:(x,y) = (-29.8167 , -27.2888)
1049:(x,y) = (-30.2393 , -28.1951)
1050:(x,y) = (-30.855 , -27.4071)
1051:(x,y) = (-29.9487 , -27.8297)
1052:(x,y) = (-29.0282 , -28.2204)
1053:(x,y) = (-29.4976 , -27.3375)
1054:(x,y) = (-29.9976 , -28.2035)
1055:(x,y) = (-30.8066 , -28.7913)
1056:(x,y) = (-31.4494 , -28.0253)
1057:(x,y) = (-32.0372 , -27.2162)
1058:(x,y) = (-31.041 , -27.3034)
1059:(x,y) = (-30.3217 , -27.9981)
1060:(x,y) = (-30.6472 , -28.9436)
1061:(x,y) = (-30.4393 , -29.9217)
1062:(x,y) = (-31.427 , -29.7653)
1063:(x,y) = (-32.4014 , -29.9902)
1064:(x,y) = (-31.4878 , -29.5835)
1065:(x,y) = (-30.7447 , -30.2526)
1066:(x,y) = (-29.7666 , -30.0447)
1067:(x,y) = (-30.3543 , -30.8537)
1068:(x,y) = (-29.5352 , -30.2802)
1069:(x,y) = (-28.5376 , -30.3499)
1070:(x,y) = (-29.0823 , -29.5113)
1071:(x,y) = (-29.4078 , -30.4568)
1072:(x,y) = (-28.6765 , -31.1388)
1073:(x,y) = (-29.5753 , -31.5771)
1074:(x,y) = (-28.5754 , -31.5597)
1075:(x,y) = (-29.0754 , -30.6937)
1076:(x,y) = (-28.1482 , -31.0683)
1077:(x,y) = (-29.0054 , -30.5532)
1078:(x,y) = (-28.8835 , -29.5607)
1079:(x,y) = (-29.8738 , -29.4215)
1080:(x,y) = (-29.9436 , -30.4191)
1081:(x,y) = (-29.8217 , -29.4265)
1082:(x,y) = (-30.6604 , -28.8819)
1083:(x,y) = (-31.1144 , -29.7729)
1084:(x,y) = (-32.0479 , -30.1313)
1085:(x,y) = (-32.2387 , -31.1129)
1086:(x,y) = (-32.3952 , -30.1252)
1087:(x,y) = (-33.3157 , -30.5159)
1088:(x,y) = (-33.5406 , -31.4903)
1089:(x,y) = (-32.7116 , -32.0495)
1090:(x,y) = (-33.6513 , -31.7075)
1091:(x,y) = (-34.4993 , -31.1776)
1092:(x,y) = (-34.8577 , -32.1111)
1093:(x,y) = (-35.7782 , -32.5019)
1094:(x,y) = (-34.8327 , -32.8274)
1095:(x,y) = (-35.6518 , -32.2539)
1096:(x,y) = (-36.5974 , -31.9283)
1097:(x,y) = (-37.3045 , -32.6354)
1098:(x,y) = (-36.359 , -32.3098)
1099:(x,y) = (-35.9843 , -31.3827)
1100:(x,y) = (-36.7391 , -32.0387)
1101:(x,y) = (-35.7688 , -31.7968)
1102:(x,y) = (-35.014 , -32.4528)
1103:(x,y) = (-36.0139 , -32.4354)
1104:(x,y) = (-36.7686 , -33.0915)
1105:(x,y) = (-37.7468 , -33.2994)
1106:(x,y) = (-37.2619 , -34.174)
1107:(x,y) = (-36.9364 , -33.2285)
1108:(x,y) = (-37.7654 , -33.7877)
1109:(x,y) = (-38.041 , -34.7489)
1110:(x,y) = (-38.495 , -35.6399)
1111:(x,y) = (-38.995 , -34.7739)
1112:(x,y) = (-38.0745 , -35.1646)
1113:(x,y) = (-38.2137 , -36.1549)
1114:(x,y) = (-37.2161 , -36.0851)
1115:(x,y) = (-36.5868 , -35.308)
1116:(x,y) = (-37.5379 , -34.999)
1117:(x,y) = (-36.6316 , -35.4216)
1118:(x,y) = (-36.9072 , -36.3829)
1119:(x,y) = (-36.3922 , -35.5257)
1120:(x,y) = (-35.8623 , -36.3737)
1121:(x,y) = (-35.5866 , -37.335)
1122:(x,y) = (-36.4696 , -37.8045)
1123:(x,y) = (-37.4512 , -37.9953)
1124:(x,y) = (-36.4513 , -37.9778)
1125:(x,y) = (-35.9665 , -37.1032)
1126:(x,y) = (-36.8495 , -37.5727)
1127:(x,y) = (-36.0204 , -37.0135)
1128:(x,y) = (-35.7281 , -37.9698)
1129:(x,y) = (-36.4101 , -38.7011)
1130:(x,y) = (-36.635 , -37.7268)
1131:(x,y) = (-37.4831 , -37.1969)
1132:(x,y) = (-37.9525 , -38.0798)
1133:(x,y) = (-37.5458 , -38.9934)
1134:(x,y) = (-38.4913 , -39.3189)
1135:(x,y) = (-37.585 , -39.7415)
1136:(x,y) = (-36.5852 , -39.759)
1137:(x,y) = (-35.6035 , -39.5682)
1138:(x,y) = (-34.9089 , -38.8488)
1139:(x,y) = (-35.7476 , -39.3935)
1140:(x,y) = (-36.4789 , -38.7115)
1141:(x,y) = (-36.1533 , -39.657)
1142:(x,y) = (-35.2623 , -40.111)
1143:(x,y) = (-34.288 , -40.3359)
1144:(x,y) = (-33.834 , -39.4449)
1145:(x,y) = (-32.9135 , -39.8357)
1146:(x,y) = (-32.1255 , -39.22)
1147:(x,y) = (-32.8326 , -39.9271)
1148:(x,y) = (-33.8288 , -40.0143)
1149:(x,y) = (-34.79 , -39.7386)
1150:(x,y) = (-35.7105 , -39.3479)
1151:(x,y) = (-36.3123 , -38.5493)
1152:(x,y) = (-36.3298 , -37.5494)
1153:(x,y) = (-36.8744 , -38.3881)
1154:(x,y) = (-37.8592 , -38.5617)
1155:(x,y) = (-37.0502 , -39.1495)
1156:(x,y) = (-38.035 , -38.9759)
1157:(x,y) = (-37.247 , -38.3602)
1158:(x,y) = (-36.2472 , -38.3777)
1159:(x,y) = (-36.369 , -37.3851)
1160:(x,y) = (-37.1004 , -36.7031)
1161:(x,y) = (-36.2016 , -37.1415)
1162:(x,y) = (-36.6711 , -36.2585)
1163:(x,y) = (-36.9966 , -37.2041)
1164:(x,y) = (-37.7627 , -36.5613)
1165:(x,y) = (-38.7504 , -36.7177)
1166:(x,y) = (-39.445 , -37.437)
1167:(x,y) = (-40.1997 , -36.781)
1168:(x,y) = (-39.8907 , -35.8299)
1169:(x,y) = (-40.6997 , -35.2421)
1170:(x,y) = (-39.7095 , -35.3813)
1171:(x,y) = (-40.5755 , -35.8813)
1172:(x,y) = (-40.0019 , -36.7005)
1173:(x,y) = (-39.1729 , -37.2597)
1174:(x,y) = (-40.1292 , -37.552)
1175:(x,y) = (-39.1415 , -37.3956)
1176:(x,y) = (-40.1377 , -37.3084)
1177:(x,y) = (-40.4301 , -36.3521)
1178:(x,y) = (-40.7057 , -35.3909)
1179:(x,y) = (-39.7057 , -35.3909)
1180:(x,y) = (-39.6882 , -36.3907)
1181:(x,y) = (-39.8101 , -37.3833)
1182:(x,y) = (-38.8103 , -37.4007)
1183:(x,y) = (-39.3981 , -38.2097)
1184:(x,y) = (-38.4199 , -38.0018)
1185:(x,y) = (-39.4076 , -38.1583)
1186:(x,y) = (-40.3531 , -38.4838)
1187:(x,y) = (-41.3517 , -38.5362)
1188:(x,y) = (-41.5082 , -37.5485)
1189:(x,y) = (-41.1662 , -36.6088)
1190:(x,y) = (-42.0491 , -36.1393)
1191:(x,y) = (-42.5937 , -36.978)
1192:(x,y) = (-41.8744 , -36.2833)
1193:(x,y) = (-41.8744 , -37.2833)
1194:(x,y) = (-42.4901 , -36.4953)
1195:(x,y) = (-43.4876 , -36.5651)
1196:(x,y) = (-42.6047 , -37.0345)
1197:(x,y) = (-43.2867 , -37.7659)
1198:(x,y) = (-42.4777 , -38.3537)
1199:(x,y) = (-41.7583 , -37.659)
1200:(x,y) = (-40.7767 , -37.4682)
1201:(x,y) = (-40.0574 , -38.1629)
1202:(x,y) = (-40.333 , -39.1241)
1203:(x,y) = (-39.6016 , -39.8061)
1204:(x,y) = (-40.5004 , -39.3678)
1205:(x,y) = (-40.5179 , -38.3679)
1206:(x,y) = (-41.4689 , -38.6769)
1207:(x,y) = (-42.3961 , -39.0515)
1208:(x,y) = (-42.0541 , -38.1119)
1209:(x,y) = (-41.4949 , -38.9409)
1210:(x,y) = (-42.4221 , -39.3155)
1211:(x,y) = (-41.471 , -39.6245)
1212:(x,y) = (-41.2974 , -38.6397)
1213:(x,y) = (-41.0218 , -37.6784)
1214:(x,y) = (-41.8308 , -38.2662)
1215:(x,y) = (-41.8657 , -37.2668)
1216:(x,y) = (-41.9875 , -38.2594)
1217:(x,y) = (-41.6952 , -39.2157)
1218:(x,y) = (-42.5338 , -38.671)
1219:(x,y) = (-41.5352 , -38.6187)
1220:(x,y) = (-40.5366 , -38.671)
1221:(x,y) = (-40.0366 , -39.5371)
